rule,string,count
0,0000000000000000,0
1,1000000000000000,1
2,0100000000000000,1
3,1100000000000000,2
4,0010000000000000,1
5,1010000000000000,2
6,0110000000000000,2
7,1110000000000000,3
8,0001000000000000,1
9,1001000000000000,2
10,0101000000000000,2
11,1101000000000000,3
12,0011000000000000,2
13,1011000000000000,3
14,0111000000000000,3
15,1111000000000000,4
16,0000100000000000,1
17,1000100000000000,2
18,0100100000000000,2
19,1100100000000000,3
20,0010100000000000,2
21,1010100000000000,3
22,0110100000000000,3
23,1110100000000000,4
24,0001100000000000,2
25,1001100000000000,3
26,0101100000000000,3
27,1101100000000000,4
28,0011100000000000,3
29,1011100000000000,4
30,0111100000000000,4
31,1111100000000000,5
32,0000010000000000,1
33,1000010000000000,2
34,0100010000000000,2
35,1100010000000000,3
36,0010010000000000,2
37,1010010000000000,3
38,0110010000000000,3
39,1110010000000000,4
40,0001010000000000,2
41,1001010000000000,3
42,0101010000000000,3
43,1101010000000000,4
44,0011010000000000,3
45,1011010000000000,4
46,0111010000000000,4
47,1111010000000000,5
48,0000110000000000,2
49,1000110000000000,3
50,0100110000000000,3
51,1100110000000000,4
52,0010110000000000,3
53,1010110000000000,4
54,0110110000000000,4
55,1110110000000000,5
56,0001110000000000,3
57,1001110000000000,4
58,0101110000000000,4
59,1101110000000000,5
60,0011110000000000,4
61,1011110000000000,5
62,0111110000000000,5
63,1111110000000000,6
64,0000001000000000,1
65,1000001000000000,2
66,0100001000000000,2
67,1100001000000000,3
68,0010001000000000,2
69,1010001000000000,3
70,0110001000000000,3
71,1110001000000000,4
72,0001001000000000,2
73,1001001000000000,3
74,0101001000000000,3
75,1101001000000000,4
76,0011001000000000,3
77,1011001000000000,4
78,0111001000000000,4
79,1111001000000000,5
80,0000101000000000,2
81,1000101000000000,3
82,0100101000000000,3
83,1100101000000000,4
84,0010101000000000,3
85,1010101000000000,4
86,0110101000000000,4
87,1110101000000000,5
88,0001101000000000,3
89,1001101000000000,4
90,0101101000000000,4
91,1101101000000000,5
92,0011101000000000,4
93,1011101000000000,5
94,0111101000000000,5
95,1111101000000000,6
96,0000011000000000,2
97,1000011000000000,3
98,0100011000000000,3
99,1100011000000000,4
100,0010011000000000,3
101,1010011000000000,4
102,0110011000000000,4
103,1110011000000000,5
104,0001011000000000,3
105,1001011000000000,4
106,0101011000000000,4
107,1101011000000000,5
108,0011011000000000,4
109,1011011000000000,5
110,0111011000000000,5
111,1111011000000000,6
112,0000111000000000,3
113,1000111000000000,4
114,0100111000000000,4
115,1100111000000000,5
116,0010111000000000,4
117,1010111000000000,5
118,0110111000000000,5
119,1110111000000000,6
120,0001111000000000,4
121,1001111000000000,5
122,0101111000000000,5
123,1101111000000000,6
124,0011111000000000,5
125,1011111000000000,6
126,0111111000000000,6
127,1111111000000000,7
128,0000000100000000,1
129,1000000100000000,2
130,0100000100000000,2
131,1100000100000000,3
132,0010000100000000,2
133,1010000100000000,3
134,0110000100000000,3
135,1110000100000000,4
136,0001000100000000,2
137,1001000100000000,3
138,0101000100000000,3
139,1101000100000000,4
140,0011000100000000,3
141,1011000100000000,4
142,0111000100000000,4
143,1111000100000000,5
144,0000100100000000,2
145,1000100100000000,3
146,0100100100000000,3
147,1100100100000000,4
148,0010100100000000,3
149,1010100100000000,4
150,0110100100000000,4
151,1110100100000000,5
152,0001100100000000,3
153,1001100100000000,4
154,0101100100000000,4
155,1101100100000000,5
156,0011100100000000,4
157,1011100100000000,5
158,0111100100000000,5
159,1111100100000000,6
160,0000010100000000,2
161,1000010100000000,3
162,0100010100000000,3
163,1100010100000000,4
164,0010010100000000,3
165,1010010100000000,4
166,0110010100000000,4
167,1110010100000000,5
168,0001010100000000,3
169,1001010100000000,4
170,0101010100000000,4
171,1101010100000000,5
172,0011010100000000,4
173,1011010100000000,5
174,0111010100000000,5
175,1111010100000000,6
176,0000110100000000,3
177,1000110100000000,4
178,0100110100000000,4
179,1100110100000000,5
180,0010110100000000,4
181,1010110100000000,5
182,0110110100000000,5
183,1110110100000000,6
184,0001110100000000,4
185,1001110100000000,5
186,0101110100000000,5
187,1101110100000000,6
188,0011110100000000,5
189,1011110100000000,6
190,0111110100000000,6
191,1111110100000000,7
192,0000001100000000,2
193,1000001100000000,3
194,0100001100000000,3
195,1100001100000000,4
196,0010001100000000,3
197,1010001100000000,4
198,0110001100000000,4
199,1110001100000000,5
200,0001001100000000,3
201,1001001100000000,4
202,0101001100000000,4
203,1101001100000000,5
204,0011001100000000,4
205,1011001100000000,5
206,0111001100000000,5
207,1111001100000000,6
208,0000101100000000,3
209,1000101100000000,4
210,0100101100000000,4
211,1100101100000000,5
212,0010101100000000,4
213,1010101100000000,5
214,0110101100000000,5
215,1110101100000000,6
216,0001101100000000,4
217,1001101100000000,5
218,0101101100000000,5
219,1101101100000000,6
220,0011101100000000,5
221,1011101100000000,6
222,0111101100000000,6
223,1111101100000000,7
224,0000011100000000,3
225,1000011100000000,4
226,0100011100000000,4
227,1100011100000000,5
228,0010011100000000,4
229,1010011100000000,5
230,0110011100000000,5
231,1110011100000000,6
232,0001011100000000,4
233,1001011100000000,5
234,0101011100000000,5
235,1101011100000000,6
236,0011011100000000,5
237,1011011100000000,6
238,0111011100000000,6
239,1111011100000000,7
240,0000111100000000,4
241,1000111100000000,5
242,0100111100000000,5
243,1100111100000000,6
244,0010111100000000,5
245,1010111100000000,6
246,0110111100000000,6
247,1110111100000000,7
248,0001111100000000,5
249,1001111100000000,6
250,0101111100000000,6
251,1101111100000000,7
252,0011111100000000,6
253,1011111100000000,7
254,0111111100000000,7
255,1111111100000000,8
256,0000000010000000,1
257,1000000010000000,2
258,0100000010000000,2
259,1100000010000000,3
260,0010000010000000,2
261,1010000010000000,3
262,0110000010000000,3
263,1110000010000000,4
264,0001000010000000,2
265,1001000010000000,3
266,0101000010000000,3
267,1101000010000000,4
268,0011000010000000,3
269,1011000010000000,4
270,0111000010000000,4
271,1111000010000000,5
272,0000100010000000,2
273,1000100010000000,3
274,0100100010000000,3
275,1100100010000000,4
276,0010100010000000,3
277,1010100010000000,4
278,0110100010000000,4
279,1110100010000000,5
280,0001100010000000,3
281,1001100010000000,4
282,0101100010000000,4
283,1101100010000000,5
284,0011100010000000,4
285,1011100010000000,5
286,0111100010000000,5
287,1111100010000000,6
288,0000010010000000,2
289,1000010010000000,3
290,0100010010000000,3
291,1100010010000000,4
292,0010010010000000,3
293,1010010010000000,4
294,0110010010000000,4
295,1110010010000000,5
296,0001010010000000,3
297,1001010010000000,4
298,0101010010000000,4
299,1101010010000000,5
300,0011010010000000,4
301,1011010010000000,5
302,0111010010000000,5
303,1111010010000000,6
304,0000110010000000,3
305,1000110010000000,4
306,0100110010000000,4
307,1100110010000000,5
308,0010110010000000,4
309,1010110010000000,5
310,0110110010000000,5
311,1110110010000000,6
312,0001110010000000,4
313,1001110010000000,5
314,0101110010000000,5
315,1101110010000000,6
316,0011110010000000,5
317,1011110010000000,6
318,0111110010000000,6
319,1111110010000000,7
320,0000001010000000,2
321,1000001010000000,3
322,0100001010000000,3
323,1100001010000000,4
324,0010001010000000,3
325,1010001010000000,4
326,0110001010000000,4
327,1110001010000000,5
328,0001001010000000,3
329,1001001010000000,4
330,0101001010000000,4
331,1101001010000000,5
332,0011001010000000,4
333,1011001010000000,5
334,0111001010000000,5
335,1111001010000000,6
336,0000101010000000,3
337,1000101010000000,4
338,0100101010000000,4
339,1100101010000000,5
340,0010101010000000,4
341,1010101010000000,5
342,0110101010000000,5
343,1110101010000000,6
344,0001101010000000,4
345,1001101010000000,5
346,0101101010000000,5
347,1101101010000000,6
348,0011101010000000,5
349,1011101010000000,6
350,0111101010000000,6
351,1111101010000000,7
352,0000011010000000,3
353,1000011010000000,4
354,0100011010000000,4
355,1100011010000000,5
356,0010011010000000,4
357,1010011010000000,5
358,0110011010000000,5
359,1110011010000000,6
360,0001011010000000,4
361,1001011010000000,5
362,0101011010000000,5
363,1101011010000000,6
364,0011011010000000,5
365,1011011010000000,6
366,0111011010000000,6
367,1111011010000000,7
368,0000111010000000,4
369,1000111010000000,5
370,0100111010000000,5
371,1100111010000000,6
372,0010111010000000,5
373,1010111010000000,6
374,0110111010000000,6
375,1110111010000000,7
