rule,string,count
0,00000000,0
1,10000000,1
2,01000000,1
3,11000000,2
4,00100000,1
5,10100000,2
6,01100000,2
7,11100000,3
8,00010000,1
9,10010000,2
10,01010000,2
11,11010000,3
12,00110000,2
13,10110000,3
14,01110000,3
15,11110000,4
16,00001000,1
17,10001000,2
18,01001000,2
19,11001000,3
20,00101000,2
21,10101000,3
22,01101000,3
23,11101000,4
24,00011000,2
25,10011000,3
26,01011000,3
27,11011000,4
28,00111000,3
29,10111000,4
30,01111000,4
31,11111000,5
32,00000100,1
33,10000100,2
34,01000100,2
35,11000100,3
36,00100100,2
37,10100100,3
38,01100100,3
39,11100100,4
40,00010100,2
41,10010100,3
42,01010100,3
43,11010100,4
44,00110100,3
45,10110100,4
46,01110100,4
47,11110100,5
48,00001100,2
49,10001100,3
50,01001100,3
51,11001100,4
52,00101100,3
53,10101100,4
54,01101100,4
55,11101100,5
56,00011100,3
57,10011100,4
58,01011100,4
59,11011100,5
60,00111100,4
61,10111100,5
62,01111100,5
63,11111100,6
64,00000010,1
65,10000010,2
66,01000010,2
67,11000010,3
68,00100010,2
69,10100010,3
70,01100010,3
71,11100010,4
72,00010010,2
73,10010010,3
74,01010010,3
75,11010010,4
76,00110010,3
77,10110010,4
78,01110010,4
79,11110010,5
80,00001010,2
81,10001010,3
82,01001010,3
83,11001010,4
84,00101010,3
85,10101010,4
86,01101010,4
87,11101010,5
88,00011010,3
89,10011010,4
90,01011010,4
91,11011010,5
92,00111010,4
93,10111010,5
94,01111010,5
95,11111010,6
96,00000110,2
97,10000110,3
98,01000110,3
99,11000110,4
100,00100110,3
101,10100110,4
102,01100110,4
103,11100110,5
104,00010110,3
105,10010110,4
106,01010110,4
107,11010110,5
108,00110110,4
109,10110110,5
110,01110110,5
111,11110110,6
112,00001110,3
113,10001110,4
114,01001110,4
115,11001110,5
116,00101110,4
117,10101110,5
118,01101110,5
119,11101110,6
120,00011110,4
121,10011110,5
122,01011110,5
123,11011110,6
124,00111110,5
125,10111110,6
126,01111110,6
127,11111110,7
128,00000001,1
129,10000001,2
130,01000001,2
131,11000001,3
132,00100001,2
133,10100001,3
134,01100001,3
135,11100001,4
136,00010001,2
137,10010001,3
138,01010001,3
139,11010001,4
140,00110001,3
141,10110001,4
142,01110001,4
143,11110001,5
144,00001001,2
145,10001001,3
146,01001001,3
147,11001001,4
148,00101001,3
149,10101001,4
150,01101001,4
151,11101001,5
152,00011001,3
153,10011001,4
154,01011001,4
155,11011001,5
156,00111001,4
157,10111001,5
158,01111001,5
159,11111001,6
160,00000101,2
161,10000101,3
162,01000101,3
163,11000101,4
164,00100101,3
165,10100101,4
166,01100101,4
167,11100101,5
168,00010101,3
169,10010101,4
170,01010101,4
171,11010101,5
172,00110101,4
173,10110101,5
174,01110101,5
175,11110101,6
176,00001101,3
177,10001101,4
178,01001101,4
179,11001101,5
180,00101101,4
181,10101101,5
182,01101101,5
183,11101101,6
184,00011101,4
185,10011101,5
186,01011101,5
187,11011101,6
188,00111101,5
189,10111101,6
190,01111101,6
191,11111101,7
192,00000011,2
193,10000011,3
194,01000011,3
195,11000011,4
196,00100011,3
197,10100011,4
198,01100011,4
199,11100011,5
200,00010011,3
201,10010011,4
202,01010011,4
203,11010011,5
204,00110011,4
205,10110011,5
206,01110011,5
207,11110011,6
208,00001011,3
209,10001011,4
210,01001011,4
211,11001011,5
212,00101011,4
213,10101011,5
214,01101011,5
215,11101011,6
216,00011011,4
217,10011011,5
218,01011011,5
219,11011011,6
220,00111011,5
221,10111011,6
222,01111011,6
223,11111011,7
224,00000111,3
225,10000111,4
226,01000111,4
227,11000111,5
228,00100111,4
229,10100111,5
230,01100111,5
231,11100111,6
232,00010111,4
233,10010111,5
234,01010111,5
235,11010111,6
236,00110111,5
237,10110111,6
238,01110111,6
239,11110111,7
240,00001111,4
241,10001111,5
242,01001111,5
243,11001111,6
244,00101111,5
245,10101111,6
246,01101111,6
247,11101111,7
248,00011111,5
249,10011111,6
250,01011111,6
251,11011111,7
252,00111111,6
253,10111111,7
254,01111111,7
255,11111111,8
